City,1st Trimester,2nd Trimester,3rd Trimester,None,Unknown,(blank),Grand Total,Percent Starting 3rd Trimester,No Care as %,3rd and none %
YORKVILLE,3,2,0,0,0,,5,0,0,0
WILSEYVILLE,9,1,0,0,0,,10,0,0,0
TRINITY CENTER,2,3,0,0,1,,6,0,0,0
SUNOL,11,1,0,0,0,,12,0,0,0
SHAVER LAKE,5,0,0,0,0,,5,0,0,0
TRANQUILLITY,67,7,0,0,9,,83,0,0,0
YOLO,18,2,0,0,0,,20,0,0,0
STONYFORD,3,2,0,0,0,,5,0,0,0
VICTOR,2,4,0,0,0,,6,0,0,0
VALLEY FORD,17,2,0,0,1,,20,0,0,0
YETTEM,4,1,0,0,0,,5,0,0,0
SHASTA,30,13,0,0,1,,44,0,0,0
SODA SPRINGS,11,2,0,0,0,,13,0,0,0
SAN GREGORIO,3,2,0,0,0,,5,0,0,0
VINA,10,2,0,0,0,,12,0,0,0
TEHAMA,13,3,0,0,0,,16,0,0,0
TRES PINOS,14,0,0,0,0,,14,0,0,0
TAYLORSVILLE,6,0,0,0,0,,6,0,0,0
MOUNT AUKUM,5,0,0,0,0,,5,0,0,0
MOUNT HAMILTON,6,2,0,0,0,,8,0,0,0
MARCH AIR RESERVE BASE,23,1,0,0,0,,24,0,0,0
PEBBLE BEACH,92,13,0,0,1,,106,0,0,0
LYTLE CREEK,16,5,0,0,0,,21,0,0,0
RAYMOND,18,3,0,0,1,,22,0,0,0
MCCLOUD,27,2,0,0,0,,29,0,0,0
NICOLAUS,22,5,0,0,0,,27,0,0,0
PRINCETON,14,5,0,0,0,,19,0,0,0
ROSS,70,0,0,0,0,,70,0,0,0
LOTUS,17,6,0,0,0,,23,0,0,0
POINT MUGU NAWC,16,4,0,0,0,,20,0,0,0
RICHVALE,3,2,0,0,0,,5,0,0,0
NICASIO,6,0,0,0,0,,6,0,0,0
MERIDIAN,20,10,0,0,0,,30,0,0,0
NAVARRO,3,2,0,0,0,,5,0,0,0
O NEALS,4,0,0,0,1,,5,0,0,0
PLEASANT GROVE,24,4,0,0,1,,29,0,0,0
PAICINES,6,0,0,0,0,,6,0,0,0
MOUNT HERMON,21,2,0,0,1,,24,0,0,0
PETROLIA,7,1,0,0,0,,8,0,0,0
ROUGH AND READY,52,18,0,0,1,,71,0,0,0
MANTON,6,5,0,0,0,,11,0,0,0
MC KITTRICK,13,4,0,0,0,,17,0,0,0
FRIANT,43,6,0,0,4,,53,0,0,0
FOREST KNOLLS,26,4,0,0,1,,31,0,0,0
LAGUNA WOODS,5,0,0,0,0,,5,0,0,0
KNEELAND,33,8,0,0,1,,42,0,0,0
FIELDS LANDING,15,2,0,0,0,,17,0,0,0
LEGGETT,12,4,0,0,0,,16,0,0,0
HATHAWAY PINES,16,1,0,0,0,,17,0,0,0
EARP,1,0,0,0,4,,5,0,0,0
HELM,20,3,0,0,0,,23,0,0,0
FOREST RANCH,29,17,0,0,4,,50,0,0,0
EDISON,4,1,0,0,0,,5,0,0,0
FAIRFAX,311,17,0,0,0,,328,0,0,0
FINLEY,4,2,0,0,0,,6,0,0,0
HUME,22,1,0,0,1,,24,0,0,0
FORT DICK,2,3,0,0,0,,5,0,0,0
GASQUET,8,6,0,0,0,,14,0,0,0
FAWNSKIN,4,0,0,0,1,,5,0,0,0
ETNA,76,16,0,0,3,,95,0,0,0
LONG BARN,9,4,0,0,0,,13,0,0,0
GREEN VALLEY LAKE,6,0,0,0,0,,6,0,0,0
IGO,25,14,0,0,1,,40,0,0,0
LAGUNITAS,12,3,0,0,0,,15,0,0,0
INVERNESS,26,6,0,0,2,,34,0,0,0
KEENE,8,1,0,0,1,,10,0,0,0
FORBESTOWN,10,3,0,0,0,,13,0,0,0
INDIAN WELLS,24,3,0,0,0,,27,0,0,0
HOLT,3,2,0,0,0,,5,0,0,0
EL PORTAL,22,6,0,0,0,,28,0,0,0
FIDDLETOWN,5,0,0,0,0,,5,0,0,0
FULTON,35,8,0,0,0,,43,0,0,0
COURTLAND,40,6,0,0,2,,48,0,0,0
BAYSIDE,47,6,0,0,0,,53,0,0,0
CREST PARK,7,3,0,0,0,,10,0,0,0
BROWNS VALLEY,71,21,0,0,0,,92,0,0,0
BLOCKSBURG,5,2,0,0,0,,7,0,0,0
CAPAY,6,1,0,0,0,,7,0,0,0
ARTOIS,16,4,0,0,0,,20,0,0,0
DAVENPORT,21,4,0,0,1,,26,0,0,0
CRESTON,60,13,0,0,2,,75,0,0,0
BIG CREEK,4,1,0,0,0,,5,0,0,0
AVILA BEACH,11,3,0,0,0,,14,0,0,0
DUNLAP,18,2,0,0,2,,22,0,0,0
BANGOR,16,16,0,0,1,,33,0,0,0
BELL GARDENS,68,6,0,0,0,,74,0,0,0
BOYES HOT SPRINGS,5,1,0,0,1,,7,0,0,0
BOLINAS,47,9,0,0,0,,56,0,0,0
CLEMENTS,28,6,0,0,0,,34,0,0,0
AMADOR CITY,5,0,0,0,0,,5,0,0,0
BASS LAKE,5,2,0,0,0,,7,0,0,0
BIEBER,4,3,0,0,1,,8,0,0,0
BRANSCOMB,3,2,0,0,0,,5,0,0,0
CASPAR,4,1,0,0,0,,5,0,0,0
DESERT CENTER,5,1,0,0,0,,6,0,0,0
COMPTCHE,5,2,0,0,0,,7,0,0,0
BURNT RANCH,12,11,0,0,0,,23,0,0,0
DIABLO,11,0,0,0,0,,11,0,0,0
BENTON,9,0,0,0,1,,10,0,0,0
BURREL,5,1,0,0,0,,6,0,0,0
ANGELUS OAKS,31,7,0,0,0,,38,0,0,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
