City,1st Trimester,2nd Trimester,3rd Trimester,None,Unknown,(blank),Grand Total,Percent Starting 3rd Trimester,No Care as %,3rd and none %
PALOS VERDES PENINSULA,559,33,5,1,7,,605,0.826446281,0.165289256,0.991735537
NEWPORT BEACH,2099,94,20,2,5,,2220,0.900900901,0.09009009,0.990990991
GROVELAND,68,32,1,0,0,,101,0.99009901,0,0.99009901
LA VERNE,1157,124,9,4,24,,1318,0.682852807,0.303490137,0.986342944
EL SEGUNDO,817,61,9,0,38,,925,0.972972973,0,0.972972973
SAN RAFAEL,3941,216,38,3,30,,4228,0.898770104,0.070955535,0.969725639
AGOURA HILLS,874,34,7,2,12,,929,0.753498385,0.215285253,0.968783638
SAN MARINO,384,12,3,1,17,,417,0.71942446,0.239808153,0.959232614
PORTOLA VALLY,201,5,2,0,1,,209,0.956937799,0,0.956937799
SOULSBYVILLE,93,11,1,0,0,,105,0.952380952,0,0.952380952
SANTA MONICA,4029,172,40,2,225,,4468,0.895255148,0.044762757,0.940017905
FELTON,285,28,1,2,4,,320,0.3125,0.625,0.9375
CUPERTINO,2261,170,23,0,18,,2472,0.930420712,0,0.930420712
MALIBU,489,16,3,2,29,,539,0.556586271,0.371057514,0.927643785
EL DORADO HILLS,1449,150,14,1,12,,1626,0.86100861,0.061500615,0.922509225
MOUNTAIN VIEW,5493,371,51,3,41,,5959,0.855848297,0.050344017,0.906192314
CAMARILLO,3501,351,34,1,5,,3892,0.873586845,0.025693731,0.899280576
CLAREMONT,1099,106,5,6,21,,1237,0.404203719,0.485044462,0.889248181
STUDIO CITY,1397,43,11,3,128,,1582,0.695322377,0.189633375,0.884955752
SAN RAMON,4051,300,37,2,30,,4420,0.837104072,0.045248869,0.882352941
ENCINO,2065,92,18,2,96,,2273,0.791904971,0.087989441,0.879894413
LAGUNA BEACH,743,47,7,0,5,,802,0.872817955,0,0.872817955
CANTUA CREEK,106,6,1,0,2,,115,0.869565217,0,0.869565217
SARATOGA,645,66,5,1,3,,720,0.694444444,0.138888889,0.833333333
MEADOW VISTA,98,21,1,0,0,,120,0.833333333,0,0.833333333
DEL MAR,443,33,3,1,1,,481,0.623700624,0.207900208,0.831600832
ENCINITAS,2391,237,15,6,5,,2654,0.565184627,0.226073851,0.791258478
BEN LOMOND,224,23,2,0,4,,253,0.790513834,0,0.790513834
BELMONT,1556,86,13,0,3,,1658,0.784077201,0,0.784077201
BURBANK,5137,379,39,5,92,,5652,0.690021231,0.08846426,0.778485492
SHERMAN OAKS,2957,150,22,3,188,,3320,0.662650602,0.090361446,0.753012048
WESTLAKE VILLAGE,627,30,5,0,10,,672,0.744047619,0,0.744047619
APTOS,882,61,6,1,23,,973,0.616649538,0.102774923,0.71942446
TARZANA,1395,99,9,2,44,,1549,0.581020013,0.129115558,0.710135571
BEVERLY HILLS,1479,59,13,0,324,,1875,0.693333333,0,0.693333333
MOSS BEACH,128,16,1,0,1,,146,0.684931507,0,0.684931507
NORTH FORK,119,14,1,0,12,,146,0.684931507,0,0.684931507
NEWBURY PARK,2032,189,14,1,5,,2241,0.624721107,0.044622936,0.669344043
SAN ANSELMO,563,28,4,0,4,,599,0.667779633,0,0.667779633
CORTE MADERA,430,17,3,0,1,,451,0.66518847,0,0.66518847
SOUTH PASADENA,1094,70,8,0,42,,1214,0.658978583,0,0.658978583
VILLA PARK,139,10,1,0,3,,153,0.653594771,0,0.653594771
LA CANADA FLINTRIDGE,433,17,3,0,8,,461,0.650759219,0,0.650759219
LA CRESCENTA,990,62,7,0,19,,1078,0.649350649,0,0.649350649
RESCUE,129,24,1,0,1,,155,0.64516129,0,0.64516129
SAN CARLOS,1637,76,11,0,5,,1729,0.636205899,0,0.636205899
BREA,1993,123,10,3,14,,2143,0.466635558,0.139990667,0.606626225
LADERA RANCH,2270,68,14,0,7,,2359,0.59347181,0,0.59347181
MANHATTAN BEACH,1537,59,10,0,82,,1688,0.592417062,0,0.592417062
MENLO PARK,2818,129,16,1,3,,2967,0.539265251,0.033704078,0.572969329
NEWPORT COAST,510,11,2,1,7,,531,0.376647834,0.188323917,0.564971751
HERMOSA BEACH,971,53,6,0,33,,1063,0.564440263,0,0.564440263
ALAMO,370,20,2,0,1,,393,0.508905852,0,0.508905852
SANTA YNEZ,153,46,1,0,3,,203,0.492610837,0,0.492610837
STANFORD,419,23,2,0,2,,446,0.448430493,0,0.448430493
CAPITOLA,425,30,2,0,12,,469,0.426439232,0,0.426439232
MILL VALLEY,1416,41,5,1,6,,1469,0.340367597,0.068073519,0.408441116
OAK PARK,475,22,2,0,2,,501,0.399201597,0,0.399201597
CORONA DEL MAR,494,9,2,0,1,,506,0.395256917,0,0.395256917
TOPANGA,218,24,1,0,11,,254,0.393700787,0,0.393700787
BRISBANE,250,19,1,0,4,,274,0.364963504,0,0.364963504
SAUSALITO,595,42,2,0,3,,642,0.31152648,0,0.31152648
LOS ALTOS,1271,49,4,0,12,,1336,0.299401198,0,0.299401198
PACIFIC PALISADES,809,16,2,0,50,,877,0.228050171,0,0.228050171
SIERRA MADRE,396,33,1,0,12,,442,0.226244344,0,0.226244344
GREENBRAE,445,15,0,1,4,,465,0,0.215053763,0.215053763
BELVEDERE TIBURON,470,12,1,0,3,,486,0.205761317,0,0.205761317
WEIMAR,12,5,0,0,0,,17,0,0,0
SPRECKELS,41,5,0,0,0,,46,0,0,0
WESTPORT,3,3,0,0,1,,7,0,0,0
WOODACRE,17,2,0,0,0,,19,0,0,0
TUPMAN,3,2,0,0,0,,5,0,0,0
VERNALIS,25,2,0,0,0,,27,0,0,0
VOLCANO,4,1,0,0,0,,5,0,0,0
